Id;Référence;Boîtier;Quantité;Désignation;Fournisseur et réf.
1;U3;SOIC-8_3.9x4.9mm_Pitch1.27mm;1;AD8216;
2;D1;SOT143B;1;PRTR5V0U2X,215;
3;Q1,Q2,Q3,Q4;SOT-23;4;2N7002;
4;C1,C2;C_0603;2;15p;
5;C3,C5,C6,C7,C8,C9,C11,C12;C_0603;8;100n;
6;C4,C13;C_0603;2;1u;
7;C10;CP_Elec_6.3x4.5;1;10u;
8;D2,D3,D4;LED_0603;3;LED_Small;
9;D5;D_0603;1;D;
10;J1;USB_Micro-B;1;USB_OTG;
11;J2;Pin_Header_Straight_1x02_Pitch1.00mm;1;BATT;
12;J3;Pin_Header_Straight_1x02_Pitch1.00mm;1;Screw_Terminal_1x02;
13;R1;R_0603;1;10K;
14;R2,R3,R4,R5,R6,R7;R_0603;6;220R;
15;R8;R_0603;1;560;
16;R9;R_0603;1;0.1R;
17;U1;TQFP-44_10x10mm_Pitch0.8mm;1;ATMEGA32U4-AU;
18;U2;SOT89-3_Housing;1;MC78L05ACH;
19;Y1;Crystal_SMD_HC49-SD;1;Crystal;
